"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.23986096187304e-28,29,246,22.2921789961701,"Path:hsa05131 Shigellosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05131 "," CHUK  EGFR  FOXO1  HK3  ITGB1  NFKB1  PIK3R1  PLCB3  PLCG2  MAPK8  RELA  ACTB  RPS27A  SRC  TP53  TRAF2  UBA52  UBC  HKDC1  H3C1  H3C4  H3C3  H3C6  H3C11  H3C8  H3C12  H3C10  H3C2  H3C7"
6.90562633138373e-28,36,530,12.844472165913,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," GNB5  CHUK  CREBBP  CTNNB1  EGFR  EP300  FOXO1  ABL1  GNAS  GNB1  GSTM1  GSTP1  IL6  ITGB1  JAK1  NFE2L2  NFKB1  NTRK1  PIK3R1  PLCB3  PLCG2  PRKACB  PRKACG  PRKCA  PRKCB  MAPK8  PTGS2  RAC2  RELA  STAT3  STAT4  STK4  TP53  TRAF2  CASP3  GSTO1"
6.68268789285746e-23,24,224,20.2606257378985,"Path:hsa05163 Human cytomegalovirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05163 "," GNB5  CHUK  CREB1  CTNNB1  EGFR  GNAS  GNB1  IL6  JAK1  NFKB1  PIK3R1  PLCB3  PRKACB  PRKACG  PRKCA  PRKCB  PTGS2  RAC2  RELA  SRC  STAT3  TP53  TRAF2  CASP3"
6.68268789285746e-23,23,194,22.4189741842038,"Path:hsa05167 Kaposi sarcoma-associated herpesvirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05167 "," GNB5  CHUK  CREB1  CREBBP  CTNNB1  EP300  GNB1  IL6  JAK1  NFKB1  PIK3R1  PLCG2  MAPK8  PTGS2  RELA  RPS27A  SRC  STAT3  TP53  TRAF2  UBA52  UBC  CASP3"
8.59116115650483e-22,22,189,22.011544011544,"Path:hsa04613 Neutrophil extracellular trap formation","http://www.genome.jp/kegg-bin/show_pathway?hsa04613 "," HDAC6  HDAC5  NFKB1  PIK3R1  PLCB3  PLCG2  PRKCA  PRKCB  RAC2  RELA  ACTB  SRC  H3C1  H3C4  H3C3  H3C6  H3C11  H3C8  H3C12  H3C10  H3C2  H3C7"
4.27326265848539e-19,20,186,20.3332444681418,"Path:hsa05034 Alcoholism","http://www.genome.jp/kegg-bin/show_pathway?hsa05034 "," HDAC5  GNB5  CREB1  GNAS  GNB1  GRIN2A  MAOB  PDYN  PRKACB  PRKACG  H3C1  H3C4  H3C3  H3C6  H3C11  H3C8  H3C12  H3C10  H3C2  H3C7"
1.7296061089629e-17,18,162,21.0110192837466,"Path:hsa05161 Hepatitis B","http://www.genome.jp/kegg-bin/show_pathway?hsa05161 "," CHUK  CREB1  CREBBP  EP300  IL6  JAK1  NFKB1  PCNA  PIK3R1  PRKCA  PRKCB  MAPK8  RELA  SRC  STAT3  STAT4  TP53  CASP3"
1.7296061089629e-17,19,193,18.6159808161692,"Path:hsa05202 Transcriptional misregulation in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05202 "," FOXO1  IL6  MEN1  KMT2A  NFKB1  NTRK1  RELA  TP53  H3C1  H3C4  H3C3  H3C6  H3C11  H3C8  H3C12  H3C10  H3C2  RUNX2  H3C7"
2.55722990682021e-17,41,1538,5.04100527678965,"Path:hsa01100 Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," CBS  CDIPT  PTGES3  AHCYL1  SDS  GLYCTK  CYP1A2  CYP3A4  DNMT3A  AGXT  EPHX2  ALDH1A1  SIRT1  G6PD  GAA  GLO1  AMY2A  GSR  GSTM1  GSTP1  GYG1  GYS1  GYS2  HK3  HSD3B2  MAOB  KMT2A  ALDH7A1  PKM  PLCB3  PLCG2  PSPH  PTGS2  PYGL  BHMT  SRR  SHMT2  TALDO1  HKDC1  NUDT12  GSTO1"
4.77866467338181e-16,18,197,17.2780970759743,"Path:hsa05207 Chemical carcinogenesis-receptor activation","http://www.genome.jp/kegg-bin/show_pathway?hsa05207 "," PTGES3  CREB1  CYP1A2  CYP3A4  EGFR  EPHX2  GNAS  GSTM1  NFKB1  PIK3R1  PRKACB  PRKACG  PRKCA  PRKCB  RELA  SRC  STAT3  GSTO1"
5.24157335850364e-16,19,235,15.2888693511517,"Path:hsa04014 Ras signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04014 "," GNB5  CHUK  EGFR  ABL1  GNB1  GRIN2A  NFKB1  NTRK1  PIK3R1  PLCG2  PRKACB  PRKACG  PRKCA  PRKCB  MAPK8  RAC2  RAP1A  RELA  STK4"
7.04698278884319e-15,16,161,18.7924644525435,"Path:hsa05206 MicroRNAs in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05206 "," CREBBP  DNMT3A  EGFR  EP300  SIRT1  ABL1  NFKB1  PIK3R1  PLCG2  PRKCA  PRKCB  PTGS2  BRCA1  STAT3  TP53  CASP3"
8.81687631271028e-15,14,106,24.9753625448308,"Path:hsa04922 Glucagon signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04922 "," CREB1  CREBBP  EP300  FOXO1  SIRT1  GNAS  GYS1  GYS2  PRKAG2  PKM  PLCB3  PRKACB  PRKACG  PYGL"
1.13445992036527e-14,17,202,15.9142868832338,"Path:hsa05203 Viral carcinogenesis","http://www.genome.jp/kegg-bin/show_pathway?hsa05203 "," HDAC5  CREB1  CREBBP  EP300  JAK1  NFKB1  PIK3R1  PKM  PRKACB  PRKACG  RELA  SRC  STAT3  TP53  TRAF2  YWHAG  CASP3"
5.1235830925689e-14,14,121,21.8792432210915,"Path:hsa04919 Thyroid hormone signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04919 "," CREBBP  CTNNB1  EP300  FOXO1  PIK3R1  PLCB3  PLCG2  PRKACB  PRKACG  PRKCA  PRKCB  ACTB  SRC  TP53"
7.00868504842289e-14,15,155,18.2999200213276,"Path:hsa04934 Cushing syndrome","http://www.genome.jp/kegg-bin/show_pathway?hsa04934 "," WDR5  CREB1  CTNNB1  EGFR  GNAS  HSD3B2  MEN1  KMT2A  PLCB3  POMC  PRKACB  PRKACG  RAP1A  RBBP5  ASH2L"
1.12481181559378e-13,14,129,20.5223909283106,"Path:hsa04926 Relaxin signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04926 "," GNB5  CREB1  EGFR  GNAS  GNB1  NFKB1  PIK3R1  PLCB3  PRKACB  PRKACG  PRKCA  MAPK8  RELA  SRC"
1.77622681769742e-13,19,331,10.8546353399416,"Path:hsa05165 Human papillomavirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05165 "," CHUK  CREB1  CREBBP  CTNNB1  EGFR  EP300  FOXO1  GNAS  ITGB1  JAK1  NFKB1  PIK3R1  PKM  PRKACB  PRKACG  PTGS2  RELA  TP53  CASP3"
2.4517279063006e-13,13,108,22.7619375573921,"Path:hsa04931 Insulin resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa04931 "," CREB1  FOXO1  GYS1  GYS2  IL6  NFKB1  PRKAG2  PIK3R1  PRKCB  MAPK8  PYGL  RELA  STAT3"
2.48221939480294e-13,14,138,19.1839741286382,"Path:hsa05418 Fluid shear stress and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05418 "," CHUK  CTNNB1  GSTM1  GSTP1  NFE2L2  NFKB1  PIK3R1  MAPK8  RAC2  RELA  ACTB  SRC  TP53  GSTO1"
2.50755171290718e-13,13,109,22.5531124421867,"Path:hsa04066 HIF-1 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04066 "," CREBBP  EGFR  EP300  HK3  IL6  NFKB1  PIK3R1  PLCG2  PRKCA  PRKCB  RELA  STAT3  HKDC1"
8.54235944018558e-13,13,120,20.4857438016529,"Path:hsa04935 Growth hormone synthesis secretion and action","http://www.genome.jp/kegg-bin/show_pathway?hsa04935 "," CREB1  CREBBP  EP300  GNAS  PIK3R1  PLCB3  PLCG2  PRKACB  PRKACG  PRKCA  PRKCB  MAPK8  STAT3"
1.09396888633258e-12,15,191,14.8507204361559,"Path:hsa04062 Chemokine signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04062 "," GNB5  CHUK  GNB1  NFKB1  PIK3R1  PLCB3  PLCG2  PRKACB  PRKACG  PRKCB  RAC2  RAP1A  RELA  SRC  STAT3"
1.47141966500377e-12,12,97,23.3937121922127,"Path:hsa05215 Prostate cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05215 "," CHUK  CREB1  CREBBP  CTNNB1  EGFR  EP300  FOXO1  GSTP1  NFKB1  PIK3R1  RELA  TP53"
2.05407883898597e-12,12,100,22.6919008264463,"Path:hsa04933 AGE-RAGE signaling pathway in diabetic complications","http://www.genome.jp/kegg-bin/show_pathway?hsa04933 "," FOXO1  IL6  NFKB1  PIK3R1  PLCB3  PLCG2  PRKCA  PRKCB  MAPK8  RELA  STAT3  CASP3"
3.01790388417872e-12,17,294,10.9343059537865,"Path:hsa04010 MAPK signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04010 "," CHUK  EGFR  JUND  NFKB1  NTRK1  PRKACB  PRKACG  PRKCA  PRKCB  MAPK8  RAC2  RAP1A  RELA  STK4  TP53  TRAF2  CASP3"
4.33499689140728e-12,9,39,43.638270820089,"Path:hsa00260 Glycine serine and threonine metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00260 "," SDS  GLYCTK  AGXT  MAOB  ALDH7A1  PSPH  BHMT  SRR  SHMT2"
4.59520789302939e-12,18,354,9.61521221459588,"Path:hsa04151 PI3K-Akt signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04151 "," GNB5  CHUK  CREB1  EGFR  GNB1  GYS1  GYS2  IL6  ITGB1  JAK1  NFKB1  NTRK1  PIK3R1  PRKCA  RELA  BRCA1  TP53  YWHAG"
4.59520789302939e-12,15,214,13.2546149687186,"Path:hsa05417 Lipid and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05417 "," CHUK  IL6  NFE2L2  NFKB1  PIK3R1  PLCB3  PRKCA  MAPK8  RAP1A  RELA  SRC  STAT3  TP53  TRAF2  CASP3"
7.09613518806201e-12,15,221,12.8347855353203,"Path:hsa04024 cAMP signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04024 "," CREB1  CREBBP  EP300  GNAS  GRIN2A  NFKB1  PIK3R1  POMC  PRKACB  PRKACG  MAPK8  RAC2  RAP1A  RELA  TSHR"
1.38845162144144e-11,15,232,12.2262396694215,"Path:hsa05171 Coronavirus disease-COVID-19","http://www.genome.jp/kegg-bin/show_pathway?hsa05171 "," CHUK  EGFR  FAU  IL6  JAK1  NFKB1  PIK3R1  PLCG2  PRKCA  PRKCB  MAPK8  RELA  RPS27A  STAT3  UBA52"
2.52758402405512e-11,10,69,27.4056773266259,"Path:hsa05031 Amphetamine addiction","http://www.genome.jp/kegg-bin/show_pathway?hsa05031 "," CREB1  SIRT1  GNAS  GRIN2A  MAOB  PDYN  PRKACB  PRKACG  PRKCA  PRKCB"
2.9374701814679e-11,14,202,13.1058833156043,"Path:hsa05205 Proteoglycans in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05205 "," CTNNB1  EGFR  ITGB1  PIK3R1  PLCG2  PRKACB  PRKACG  PRKCA  PRKCB  ACTB  SRC  STAT3  TP53  CASP3"
3.19322780179509e-11,9,49,34.7325012649688,"Path:hsa05030 Cocaine addiction","http://www.genome.jp/kegg-bin/show_pathway?hsa05030 "," CREB1  GNAS  GRIN2A  MAOB  NFKB1  PDYN  PRKACB  PRKACG  RELA"
3.26580454602154e-11,11,98,21.2254174397032,"Path:hsa04750 Inflammatory mediator regulation of TRP channels","http://www.genome.jp/kegg-bin/show_pathway?hsa04750 "," GNAS  NTRK1  PIK3R1  PLCB3  PLCG2  PRKACB  PRKACG  PRKCA  PRKCB  MAPK8  SRC"
3.75716634302358e-11,12,131,17.3220616995773,"Path:hsa04068 FoxO signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04068 "," CHUK  CREBBP  EGFR  EP300  FOXO1  SIRT1  IL6  PRKAG2  PIK3R1  MAPK8  STAT3  STK4"
4.00346377730535e-11,12,132,17.190833959429,"Path:hsa04728 Dopaminergic synapse","http://www.genome.jp/kegg-bin/show_pathway?hsa04728 "," GNB5  CREB1  GNAS  GNB1  GRIN2A  MAOB  PLCB3  PRKACB  PRKACG  PRKCA  PRKCB  MAPK8"
4.20826962271654e-11,14,210,12.6066115702479,"Path:hsa04015 Rap1 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04015 "," CTNNB1  EGFR  GNAS  GRIN2A  ITGB1  PIK3R1  PLCB3  PRKCA  PRKCB  PRKD1  RAC2  RAP1A  ACTB  SRC"
4.20826962271654e-11,11,101,20.5949594959496,"Path:hsa04916 Melanogenesis","http://www.genome.jp/kegg-bin/show_pathway?hsa04916 "," CREB1  CREBBP  CTNNB1  EP300  GNAS  PLCB3  POMC  PRKACB  PRKACG  PRKCA  PRKCB"
4.46392163338775e-11,11,102,20.3930481283422,"Path:hsa05146 Amoebiasis","http://www.genome.jp/kegg-bin/show_pathway?hsa05146 "," GNAS  IL6  NFKB1  PIK3R1  PLCB3  PRKACB  PRKACG  PRKCA  PRKCB  RELA  CASP3"
5.36901762563254e-11,10,76,24.8814702044367,"Path:hsa05212 Pancreatic cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05212 "," CHUK  EGFR  JAK1  NFKB1  PIK3R1  MAPK8  RAC2  RELA  STAT3  TP53"
8.13009733845132e-11,8,36,42.0220385674931,"Path:hsa00500 Starch and sucrose metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00500 "," GAA  AMY2A  GYG1  GYS1  GYS2  HK3  PYGL  HKDC1"
8.58094756374433e-11,14,223,11.8716969944039,"Path:hsa05208 Chemical carcinogenesis-reactive oxygen species","http://www.genome.jp/kegg-bin/show_pathway?hsa05208 "," CHUK  CYP1A2  EGFR  EPHX2  ABL1  GSTM1  NFE2L2  NFKB1  PIK3R1  PRKD1  MAPK8  RELA  SRC  GSTO1"
1.14367832972046e-10,11,112,18.5722402597403,"Path:hsa04726 Serotonergic synapse","http://www.genome.jp/kegg-bin/show_pathway?hsa04726 "," GNB5  GNAS  GNB1  MAOB  PLCB3  PRKACB  PRKACG  PRKCA  PRKCB  PTGS2  CASP3"
